stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
27,UKD027,Ranikhet Bus Stand,Hill Station Bus Terminal in Ranikhet,29.6432,79.4322,,https://uttarakhandtourism.gov.in,0,
28,UKD028,Kotdwar Bus Stand,Entry Point Bus Terminal in Kotdwar,29.7455,78.5348,,https://uttarakhandtourism.gov.in,0,
29,UKD029,Dhanaulti Bus Stand,Hill Station Bus Stop in Dhanaulti,30.4233,78.2437,,https://uttarakhandtourism.gov.in,0,
30,UKD030,Gopeshwar Bus Stand,Main Bus Terminal in Gopeshwar,30.4103,79.3201,,https://uttarakhandtourism.gov.in,0,
31,UKD031,Narendranagar Bus Stand,Buses to Rishikesh & Tehri,30.1575,78.3096,,https://uttarakhandtourism.gov.in,0,
32,UKD032,Pantnagar Bus Stop,City Bus Point near Airport,29.0275,79.4738,,https://uttarakhandtourism.gov.in,0,
33,UKD033,Kichha Bus Stand,Bus Stand in Kichha Town,28.9195,79.5183,,https://uttarakhandtourism.gov.in,0,
34,UKD034,Jaspur Bus Stand,Bus Terminal in Jaspur Town,29.2784,78.8310,,https://uttarakhandtourism.gov.in,0,
35,UKD035,Bazpur Bus Stand,Local Bus Stand in Bazpur,29.1532,79.1280,,https://uttarakhandtourism.gov.in,0,
36,UKD036,Doiwala Bus Stand,Buses for Dehradun & Rishikesh,30.1804,78.1471,,https://uttarakhandtourism.gov.in,0,
37,UKD037,Vikasnagar Bus Stand,Bus Stop near Vikasnagar,30.4636,77.7638,,https://uttarakhandtourism.gov.in,0,
38,UKD038,Bhimtal Bus Stand,Scenic Hill Bus Stand in Bhimtal,29.3455,79.5522,,https://uttarakhandtourism.gov.in,0,
39,UKD039,Naukuchiatal Bus Point,Hill Lake Town Bus Stop,29.3208,79.6075,,https://uttarakhandtourism.gov.in,0,
40,UKD040,Sitarganj Bus Stand,Plain District Bus Stop in Sitarganj,28.9305,79.6987,,https://uttarakhandtourism.gov.in,0,
41,UKD041,Kichha Crossing Bus Point,Highway Bus Stop Kichha,28.9134,79.5125,,https://uttarakhandtourism.gov.in,0,
42,UKD042,Champawat Town Bus Stop,Town Center Bus Stop,29.3368,80.0982,,https://uttarakhandtourism.gov.in,0,
43,UKD043,Chamba Bus Stand,Main Bus Stand in Chamba Town,30.2872,78.3419,,https://uttarakhandtourism.gov.in,0,
44,UKD044,Ghat Bus Point,Bus Stand near Ghat,30.1484,79.6048,,https://uttarakhandtourism.gov.in,0,
45,UKD045,Lohaghat Bus Stand,City Bus Terminal in Lohaghat,29.4104,80.0905,,https://uttarakhandtourism.gov.in,0,
46,UKD046,Bironkhal Bus Point,Rural Bus Stop in Bironkhal,30.0539,78.8877,,https://uttarakhandtourism.gov.in,0,
47,UKD047,Dugadda Bus Stand,Bus Point in Dugadda Town,29.7400,78.6250,,https://uttarakhandtourism.gov.in,0,
48,UKD048,Naugaon Bus Stand,Bus Stop in Naugaon,30.6306,78.0531,,https://uttarakhandtourism.gov.in,0,
49,UKD049,Tyuni Bus Stand,Border Village Bus Stand Tyuni,30.7376,77.6243,,https://uttarakhandtourism.gov.in,0,
50,UKD050,Syaldey Bus Point,Remote Bus Stop in Syaldey,29.8600,79.0833,,https://uttarakhandtourism.gov.in,0,

